total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
,,,22327.0,,37.0,,29251.0,,216.0,,,,,,,,,,,,,,,,,,,,,True,32.0,2
,,66661.0,76658.0,74.0,80.0,55731.0,68594.0,744.0,743.0,26.0,41.0,71.0,74.0,21.0,22.0,1.0,10.0,1.0,5.0,115.0,117.0,3.0,7.0,57.0,82.0,2.0,3.0,74.0,81.0,True,35.0,2
130017.0,111035.0,48742.0,55974.0,62.0,67.0,41414.0,50005.0,531.0,618.0,19.0,31.0,88.0,47.0,4.0,9.0,2.0,7.0,0.0,4.0,91.0,97.0,2.0,1.0,55.0,53.0,1.0,0.0,62.0,67.0,True,25.0,1
,,67584.0,73305.0,74.0,78.0,56819.0,62948.0,651.0,698.0,34.0,40.0,57.0,46.0,3.0,5.0,5.0,8.0,2.0,2.0,104.0,101.0,4.0,7.0,59.0,65.0,1.0,5.0,74.0,80.0,True,31.0,2
,,68135.0,80345.0,74.0,82.0,57990.0,71340.0,554.0,681.0,36.0,57.0,49.0,121.0,2.0,14.0,2.0,11.0,0.0,3.0,108.0,130.0,8.0,5.0,51.0,70.0,1.0,5.0,74.0,79.0,True,36.0,2
,,43588.0,57344.0,58.0,68.0,35875.0,51613.0,478.0,609.0,15.0,30.0,34.0,86.0,5.0,4.0,0.0,8.0,0.0,5.0,92.0,91.0,0.0,4.0,49.0,48.0,3.0,1.0,57.0,70.0,True,24.0,1
,,57636.0,67599.0,66.0,74.0,47832.0,58350.0,628.0,747.0,22.0,36.0,98.0,45.0,6.0,5.0,0.0,9.0,0.0,4.0,91.0,97.0,2.0,3.0,43.0,54.0,1.0,1.0,66.0,72.0,True,30.0,2
,,62036.0,53426.0,71.0,65.0,55193.0,45547.0,717.0,556.0,31.0,22.0,84.0,58.0,16.0,4.0,5.0,0.0,6.0,0.0,95.0,91.0,1.0,4.0,50.0,46.0,1.0,3.0,71.0,64.0,False,28.0,1
,,53525.0,39256.0,65.0,55.0,46070.0,33044.0,527.0,428.0,29.0,7.0,36.0,32.0,5.0,1.0,8.0,2.0,3.0,2.0,76.0,86.0,1.0,2.0,42.0,49.0,3.0,0.0,69.0,55.0,False,24.0,1
13387.0,35120.0,71615.0,66656.0,76.0,73.0,60084.0,54828.0,700.0,672.0,36.0,28.0,127.0,42.0,10.0,20.0,8.0,2.0,3.0,1.0,105.0,104.0,3.0,6.0,56.0,60.0,4.0,4.0,74.0,74.0,False,34.0,2
