total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
,,64423.0,73292.0,73.0,77.0,50734.0,59084.0,746.0,762.0,17.0,35.0,377.0,49.0,15.0,14.0,3.0,9.0,1.0,3.0,121.0,94.0,2.0,3.0,66.0,55.0,5.0,1.0,72.0,77.0,True,33.0,2
,,85784.0,70290.0,84.0,75.0,69842.0,59117.0,783.0,740.0,40.0,25.0,91.0,59.0,11.0,11.0,10.0,4.0,6.0,4.0,112.0,108.0,9.0,7.0,63.0,55.0,2.0,5.0,84.0,75.0,False,37.0,2
,,53381.0,40576.0,64.0,56.0,50230.0,34502.0,633.0,599.0,34.0,8.0,52.0,43.0,20.0,13.0,6.0,0.0,5.0,0.0,89.0,91.0,8.0,4.0,50.0,54.0,4.0,0.0,64.0,56.0,False,23.0,1
,,73416.0,57893.0,77.0,68.0,61833.0,49315.0,865.0,746.0,39.0,17.0,80.0,323.0,6.0,10.0,9.0,1.0,4.0,2.0,97.0,91.0,2.0,2.0,45.0,46.0,3.0,0.0,77.0,68.0,False,31.0,2
,,96974.0,102391.0,86.0,88.0,77384.0,80225.0,930.0,929.0,40.0,53.0,110.0,65.0,8.0,5.0,6.0,10.0,4.0,6.0,119.0,117.0,6.0,8.0,60.0,58.0,1.0,2.0,86.0,91.0,True,43.0,2
,,78147.0,88783.0,81.0,85.0,62334.0,70381.0,973.0,1001.0,21.0,29.0,55.0,419.0,16.0,17.0,3.0,7.0,1.0,7.0,114.0,114.0,10.0,7.0,58.0,55.0,4.0,6.0,81.0,84.0,True,38.0,2
122176.0,117226.0,34463.0,49176.0,52.0,62.0,24618.0,45074.0,100.0,266.0,11.0,36.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,30.0,0.0,0.0,20.0,12.0,0.0,0.0,52.0,57.0,True,23.0,1
,,62680.0,52584.0,71.0,65.0,56536.0,47366.0,679.0,615.0,35.0,22.0,67.0,62.0,9.0,10.0,6.0,2.0,5.0,2.0,106.0,99.0,7.0,6.0,64.0,50.0,2.0,2.0,72.0,65.0,False,29.0,1
16401.0,13142.0,71474.0,53307.0,76.0,64.0,62163.0,41528.0,771.0,595.0,46.0,11.0,281.0,46.0,13.0,10.0,9.0,0.0,6.0,1.0,90.0,89.0,2.0,10.0,50.0,47.0,1.0,5.0,81.0,64.0,False,30.0,2
22720.0,40579.0,88848.0,71372.0,86.0,75.0,72726.0,62848.0,811.0,723.0,49.0,32.0,76.0,79.0,13.0,20.0,8.0,6.0,5.0,3.0,119.0,124.0,6.0,5.0,72.0,71.0,5.0,3.0,86.0,75.0,False,38.0,2
,,71017.0,80182.0,76.0,81.0,58512.0,68897.0,708.0,780.0,30.0,42.0,126.0,70.0,22.0,26.0,1.0,6.0,4.0,5.0,115.0,114.0,7.0,7.0,54.0,73.0,7.0,2.0,76.0,81.0,True,37.0,2
,,66393.0,74909.0,73.0,79.0,56271.0,66022.0,593.0,633.0,34.0,57.0,50.0,61.0,3.0,5.0,1.0,10.0,1.0,5.0,103.0,100.0,5.0,3.0,54.0,46.0,1.0,5.0,72.0,79.0,True,32.0,2
,,41435.0,28808.0,57.0,46.0,38926.0,25991.0,481.0,378.0,30.0,7.0,43.0,26.0,1.0,2.0,6.0,1.0,0.0,2.0,77.0,69.0,1.0,0.0,39.0,34.0,0.0,2.0,57.0,46.0,False,19.0,0
,,79043.0,66893.0,80.0,74.0,67347.0,60964.0,742.0,712.0,41.0,42.0,60.0,284.0,16.0,19.0,8.0,4.0,3.0,4.0,128.0,110.0,5.0,6.0,63.0,60.0,6.0,1.0,80.0,73.0,False,33.0,2
,,55050.0,59424.0,66.0,69.0,43641.0,51523.0,613.0,620.0,21.0,30.0,49.0,272.0,13.0,11.0,2.0,8.0,2.0,5.0,108.0,96.0,5.0,4.0,60.0,51.0,2.0,4.0,65.0,71.0,True,27.0,1
,,74422.0,85360.0,78.0,84.0,59763.0,68773.0,773.0,841.0,27.0,43.0,293.0,119.0,24.0,16.0,4.0,9.0,4.0,4.0,108.0,122.0,3.0,5.0,57.0,111.0,1.0,2.0,77.0,83.0,True,36.0,2
,,89386.0,78569.0,86.0,81.0,72665.0,66052.0,897.0,925.0,40.0,30.0,81.0,64.0,7.0,20.0,5.0,3.0,4.0,5.0,115.0,104.0,5.0,6.0,62.0,46.0,1.0,10.0,86.0,81.0,False,38.0,2
133184.0,123339.0,39713.0,45685.0,55.0,59.0,32407.0,43609.0,411.0,520.0,17.0,29.0,29.0,55.0,5.0,6.0,0.0,7.0,0.0,3.0,74.0,73.0,7.0,0.0,49.0,41.0,5.0,4.0,55.0,59.0,True,20.0,1
,,72620.0,60430.0,77.0,70.0,60748.0,50496.0,786.0,730.0,31.0,22.0,346.0,88.0,11.0,13.0,9.0,2.0,5.0,3.0,102.0,101.0,5.0,4.0,53.0,53.0,5.0,4.0,76.0,70.0,False,31.0,2
,,61644.0,52453.0,70.0,64.0,52032.0,44583.0,640.0,688.0,28.0,19.0,49.0,68.0,13.0,8.0,4.0,4.0,5.0,2.0,91.0,90.0,3.0,2.0,43.0,42.0,2.0,6.0,73.0,64.0,False,27.0,1
129957.0,99610.0,19715.0,36971.0,36.0,54.0,19333.0,42690.0,56.0,232.0,11.0,52.0,0.0,43.0,8.0,0.0,0.0,6.0,0.0,0.0,25.0,29.0,0.0,0.0,20.0,11.0,0.0,0.0,36.0,51.0,True,17.0,0
15711.0,16808.0,72139.0,59903.0,78.0,69.0,58317.0,47457.0,822.0,734.0,27.0,15.0,74.0,50.0,15.0,16.0,10.0,1.0,5.0,1.0,115.0,107.0,11.0,5.0,57.0,57.0,6.0,3.0,77.0,73.0,False,30.0,2
129050.0,114570.0,24605.0,39779.0,41.0,54.0,20808.0,41840.0,111.0,237.0,7.0,42.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,25.0,25.0,0.0,0.0,20.0,7.0,0.0,0.0,41.0,54.0,True,19.0,0
,,46966.0,58416.0,60.0,67.0,37418.0,49618.0,515.0,565.0,19.0,36.0,52.0,52.0,1.0,3.0,0.0,6.0,0.0,4.0,82.0,73.0,1.0,4.0,43.0,29.0,3.0,1.0,60.0,67.0,True,24.0,1
,,39394.0,31803.0,54.0,48.0,34913.0,23655.0,330.0,197.0,25.0,6.0,556.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,37.0,9.0,0.0,0.0,33.0,1.0,0.0,0.0,54.0,45.0,False,23.0,1
59993.0,47281.0,91905.0,84112.0,85.0,83.0,77195.0,70186.0,795.0,767.0,62.0,50.0,62.0,65.0,5.0,13.0,7.0,1.0,3.0,1.0,122.0,129.0,11.0,13.0,63.0,70.0,9.0,3.0,87.0,83.0,False,39.0,2
,,57838.0,70386.0,68.0,75.0,48794.0,63335.0,627.0,750.0,24.0,38.0,192.0,62.0,12.0,17.0,1.0,11.0,0.0,7.0,95.0,121.0,3.0,4.0,51.0,70.0,2.0,4.0,69.0,75.0,True,32.0,2
,,55130.0,45889.0,66.0,60.0,52404.0,39318.0,538.0,538.0,43.0,22.0,310.0,40.0,10.0,7.0,10.0,0.0,5.0,1.0,100.0,84.0,4.0,4.0,64.0,46.0,4.0,1.0,66.0,62.0,False,23.0,1
,,42760.0,29276.0,57.0,45.0,38943.0,23352.0,621.0,393.0,19.0,3.0,22.0,170.0,11.0,6.0,7.0,0.0,5.0,0.0,60.0,68.0,1.0,3.0,36.0,31.0,0.0,4.0,56.0,46.0,False,19.0,0
,,61617.0,48078.0,71.0,62.0,53784.0,41733.0,689.0,587.0,27.0,14.0,59.0,50.0,8.0,15.0,9.0,1.0,4.0,1.0,97.0,90.0,4.0,3.0,57.0,45.0,0.0,2.0,70.0,61.0,False,29.0,1
129286.0,81133.0,28001.0,36463.0,45.0,52.0,25087.0,40182.0,184.0,189.0,14.0,37.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,25.0,18.0,0.0,0.0,20.0,5.0,0.0,0.0,45.0,50.0,True,20.0,1
,,30490.0,51316.0,48.0,63.0,21776.0,49677.0,89.0,300.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,25.0,24.0,0.0,0.0,20.0,8.0,0.0,0.0,48.0,62.0,True,23.0,1
,,63692.0,74508.0,71.0,78.0,53519.0,63034.0,612.0,754.0,20.0,44.0,41.0,49.0,2.0,6.0,1.0,11.0,3.0,3.0,114.0,90.0,4.0,2.0,73.0,53.0,1.0,3.0,71.0,78.0,True,34.0,2
,,23070.0,44819.0,41.0,58.0,14263.0,44962.0,50.0,291.0,1.0,65.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,38.0,0.0,1.0,20.0,23.0,0.0,0.0,41.0,56.0,True,19.0,0
,,32852.0,49058.0,49.0,61.0,25128.0,52190.0,93.0,324.0,12.0,58.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,25.0,34.0,0.0,0.0,20.0,14.0,0.0,0.0,49.0,60.0,True,22.0,1
,,69660.0,69757.0,76.0,74.0,59314.0,61532.0,809.0,676.0,39.0,38.0,44.0,61.0,2.0,5.0,2.0,7.0,4.0,1.0,112.0,107.0,6.0,5.0,101.0,53.0,9.0,3.0,77.0,73.0,True,35.0,2
,,83134.0,69894.0,84.0,74.0,66003.0,55115.0,816.0,697.0,45.0,28.0,130.0,155.0,6.0,8.0,7.0,5.0,7.0,1.0,115.0,99.0,3.0,3.0,63.0,44.0,3.0,2.0,81.0,74.0,False,31.0,2
,,62596.0,52365.0,71.0,64.0,59533.0,44726.0,758.0,509.0,46.0,22.0,57.0,42.0,11.0,19.0,6.0,0.0,6.0,0.0,123.0,93.0,8.0,6.0,71.0,44.0,5.0,4.0,71.0,64.0,False,26.0,1
,,26227.0,48354.0,43.0,60.0,20191.0,44968.0,110.0,288.0,6.0,55.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,23.0,0.0,0.0,20.0,5.0,0.0,0.0,43.0,60.0,True,21.0,1
,,101507.0,81263.0,89.0,82.0,78639.0,67501.0,866.0,851.0,61.0,32.0,81.0,109.0,17.0,16.0,8.0,7.0,5.0,3.0,123.0,113.0,9.0,8.0,63.0,62.0,4.0,3.0,88.0,82.0,False,39.0,2
,,94401.0,98745.0,85.0,88.0,74978.0,81661.0,945.0,1045.0,36.0,45.0,79.0,75.0,17.0,19.0,4.0,10.0,5.0,4.0,138.0,127.0,8.0,7.0,73.0,62.0,5.0,6.0,85.0,90.0,True,44.0,2
,,53633.0,63733.0,65.0,72.0,41417.0,55596.0,635.0,722.0,12.0,34.0,29.0,52.0,10.0,6.0,0.0,12.0,1.0,5.0,87.0,92.0,3.0,2.0,42.0,51.0,5.0,2.0,65.0,71.0,True,29.0,1
,,56255.0,40826.0,66.0,56.0,50547.0,34453.0,631.0,434.0,32.0,14.0,32.0,36.0,5.0,8.0,6.0,0.0,4.0,1.0,76.0,74.0,4.0,0.0,39.0,36.0,0.0,3.0,66.0,55.0,False,23.0,1
14615.0,24076.0,72541.0,60134.0,77.0,69.0,59642.0,46888.0,728.0,633.0,36.0,21.0,59.0,49.0,7.0,6.0,14.0,1.0,4.0,4.0,97.0,98.0,4.0,6.0,56.0,50.0,7.0,2.0,76.0,69.0,False,30.0,2
,,39956.0,48163.0,55.0,61.0,34355.0,43507.0,393.0,556.0,16.0,26.0,31.0,112.0,42.0,5.0,0.0,5.0,0.0,3.0,75.0,81.0,3.0,1.0,40.0,43.0,1.0,2.0,54.0,61.0,True,24.0,1
,,56110.0,62248.0,67.0,72.0,46394.0,57970.0,522.0,551.0,23.0,44.0,136.0,45.0,8.0,5.0,0.0,7.0,1.0,4.0,92.0,90.0,5.0,2.0,42.0,46.0,2.0,1.0,67.0,70.0,True,31.0,2
,,86926.0,86349.0,85.0,84.0,74062.0,71984.0,819.0,739.0,51.0,41.0,209.0,62.0,12.0,67.0,7.0,7.0,2.0,6.0,124.0,134.0,3.0,6.0,63.0,67.0,3.0,3.0,87.0,84.0,False,39.0,2
,,72845.0,60842.0,77.0,70.0,60382.0,48965.0,868.0,616.0,33.0,23.0,109.0,92.0,9.0,8.0,7.0,1.0,2.0,3.0,113.0,103.0,7.0,1.0,58.0,60.0,7.0,6.0,77.0,70.0,False,31.0,2
,,60206.0,75080.0,69.0,77.0,53451.0,65342.0,602.0,866.0,22.0,41.0,71.0,87.0,10.0,11.0,2.0,5.0,3.0,4.0,98.0,113.0,9.0,7.0,53.0,60.0,11.0,5.0,69.0,77.0,True,35.0,2
,,70957.0,68502.0,76.0,75.0,60543.0,60101.0,639.0,685.0,45.0,37.0,41.0,46.0,5.0,5.0,8.0,4.0,3.0,3.0,91.0,98.0,4.0,3.0,44.0,93.0,1.0,3.0,76.0,75.0,False,33.0,2
51361.0,48555.0,92716.0,88920.0,86.0,87.0,74182.0,75247.0,935.0,979.0,36.0,39.0,76.0,112.0,16.0,21.0,7.0,4.0,4.0,5.0,126.0,112.0,6.0,5.0,64.0,57.0,5.0,0.0,89.0,86.0,False,41.0,2
112311.0,96543.0,73608.0,85187.0,77.0,84.0,69431.0,72444.0,839.0,699.0,41.0,50.0,54.0,239.0,17.0,12.0,6.0,8.0,3.0,4.0,107.0,131.0,6.0,9.0,49.0,69.0,0.0,6.0,77.0,83.0,True,37.0,2
,,67824.0,64536.0,73.0,73.0,56601.0,52524.0,745.0,707.0,29.0,24.0,51.0,79.0,14.0,10.0,8.0,2.0,4.0,3.0,97.0,108.0,5.0,8.0,50.0,94.0,0.0,9.0,73.0,74.0,False,31.0,2
,,52032.0,66784.0,64.0,73.0,43591.0,62460.0,604.0,758.0,19.0,43.0,97.0,49.0,4.0,19.0,0.0,9.0,0.0,6.0,88.0,97.0,3.0,4.0,49.0,52.0,0.0,1.0,64.0,73.0,True,29.0,1
101251.0,128258.0,73333.0,77232.0,78.0,79.0,58483.0,64672.0,761.0,778.0,25.0,28.0,57.0,88.0,5.0,5.0,2.0,14.0,5.0,3.0,108.0,99.0,4.0,4.0,49.0,46.0,3.0,0.0,78.0,81.0,True,38.0,2
,,111825.0,100978.0,90.0,88.0,86450.0,80233.0,1085.0,1039.0,41.0,39.0,93.0,124.0,30.0,30.0,6.0,4.0,6.0,4.0,130.0,132.0,9.0,9.0,75.0,71.0,7.0,2.0,90.0,88.0,False,48.0,2
,,48660.0,52017.0,61.0,63.0,39554.0,47062.0,516.0,604.0,20.0,23.0,29.0,511.0,5.0,6.0,0.0,11.0,0.0,6.0,83.0,73.0,2.0,3.0,39.0,43.0,5.0,1.0,61.0,63.0,True,25.0,1
,,83259.0,74615.0,81.0,78.0,73235.0,57663.0,866.0,778.0,49.0,26.0,75.0,120.0,19.0,20.0,15.0,1.0,6.0,3.0,120.0,112.0,3.0,3.0,61.0,58.0,8.0,2.0,81.0,80.0,False,35.0,2
42558.0,28836.0,87901.0,79097.0,85.0,80.0,71085.0,72445.0,774.0,715.0,49.0,52.0,310.0,50.0,6.0,8.0,7.0,3.0,2.0,6.0,118.0,117.0,8.0,5.0,68.0,55.0,3.0,3.0,87.0,78.0,False,36.0,2
,,62662.0,72566.0,71.0,78.0,52220.0,61353.0,691.0,841.0,29.0,37.0,47.0,59.0,6.0,13.0,1.0,11.0,2.0,5.0,111.0,106.0,4.0,4.0,62.0,51.0,4.0,3.0,71.0,78.0,True,30.0,2
,,45970.0,36628.0,59.0,53.0,43980.0,32035.0,558.0,429.0,29.0,11.0,39.0,62.0,6.0,1.0,7.0,0.0,5.0,0.0,68.0,68.0,0.0,0.0,36.0,36.0,1.0,2.0,59.0,53.0,False,21.0,1
,,28415.0,46446.0,45.0,60.0,20811.0,48979.0,80.0,249.0,8.0,53.0,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,25.0,36.0,0.0,0.0,20.0,12.0,0.0,0.0,45.0,59.0,True,21.0,1
,,32037.0,52521.0,48.0,64.0,21977.0,47493.0,105.0,315.0,9.0,59.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,25.0,0.0,0.0,20.0,8.0,0.0,0.0,48.0,60.0,True,23.0,1
,,97014.0,81588.0,88.0,82.0,77985.0,72704.0,980.0,889.0,53.0,39.0,84.0,67.0,20.0,26.0,5.0,6.0,4.0,4.0,142.0,123.0,7.0,10.0,87.0,61.0,7.0,5.0,90.0,81.0,False,38.0,2
,,37533.0,51386.0,52.0,63.0,32430.0,48433.0,364.0,582.0,16.0,39.0,57.0,31.0,2.0,7.0,0.0,7.0,1.0,1.0,89.0,80.0,4.0,4.0,45.0,35.0,5.0,4.0,52.0,64.0,True,22.0,1
,,73040.0,86085.0,77.0,83.0,54597.0,67896.0,833.0,847.0,23.0,37.0,51.0,62.0,9.0,6.0,3.0,10.0,4.0,3.0,107.0,95.0,7.0,8.0,55.0,55.0,3.0,6.0,79.0,82.0,True,35.0,2
,,48298.0,61299.0,61.0,70.0,41706.0,52940.0,506.0,601.0,23.0,43.0,49.0,40.0,7.0,12.0,2.0,6.0,1.0,4.0,83.0,84.0,5.0,2.0,47.0,37.0,1.0,1.0,61.0,70.0,True,27.0,1
,,79345.0,89786.0,80.0,83.0,68468.0,71327.0,768.0,750.0,41.0,45.0,58.0,170.0,6.0,15.0,4.0,7.0,2.0,8.0,126.0,116.0,8.0,10.0,85.0,57.0,2.0,3.0,80.0,83.0,True,39.0,2
41321.0,10284.0,66266.0,52645.0,74.0,65.0,55226.0,42100.0,699.0,628.0,32.0,17.0,38.0,57.0,7.0,2.0,7.0,1.0,6.0,1.0,94.0,91.0,2.0,3.0,52.0,54.0,2.0,4.0,73.0,65.0,False,27.0,1
,,38037.0,49970.0,54.0,63.0,31126.0,48535.0,512.0,562.0,8.0,38.0,35.0,65.0,5.0,4.0,0.0,9.0,0.0,4.0,80.0,84.0,5.0,2.0,42.0,47.0,7.0,2.0,54.0,67.0,True,23.0,1
,,65158.0,70957.0,72.0,76.0,59876.0,61327.0,608.0,648.0,43.0,43.0,44.0,60.0,13.0,15.0,4.0,8.0,3.0,3.0,102.0,106.0,6.0,5.0,53.0,50.0,2.0,4.0,72.0,76.0,True,29.0,1
,,42106.0,52027.0,57.0,64.0,36280.0,45219.0,481.0,580.0,13.0,32.0,39.0,32.0,1.0,7.0,2.0,5.0,1.0,4.0,81.0,83.0,2.0,1.0,39.0,40.0,2.0,4.0,56.0,66.0,True,24.0,1
,,96496.0,81070.0,88.0,82.0,77019.0,65773.0,1027.0,861.0,53.0,34.0,63.0,60.0,15.0,14.0,9.0,2.0,4.0,1.0,130.0,121.0,7.0,7.0,63.0,63.0,16.0,6.0,88.0,81.0,False,36.0,2
100080.0,110715.0,81823.0,89741.0,81.0,85.0,67171.0,73905.0,909.0,987.0,30.0,36.0,83.0,61.0,4.0,28.0,6.0,10.0,2.0,6.0,123.0,109.0,10.0,5.0,57.0,60.0,10.0,0.0,83.0,84.0,True,38.0,2
,,42511.0,35431.0,57.0,51.0,38843.0,29590.0,444.0,433.0,27.0,12.0,29.0,28.0,2.0,2.0,5.0,0.0,3.0,1.0,77.0,72.0,2.0,2.0,40.0,37.0,2.0,2.0,57.0,51.0,False,21.0,1
,,59697.0,74883.0,69.0,78.0,50542.0,61117.0,536.0,619.0,34.0,46.0,57.0,42.0,3.0,7.0,3.0,10.0,3.0,4.0,100.0,89.0,1.0,3.0,58.0,41.0,3.0,1.0,68.0,76.0,True,30.0,2
,,61419.0,73518.0,70.0,78.0,48645.0,64020.0,623.0,704.0,22.0,46.0,77.0,44.0,3.0,5.0,0.0,9.0,1.0,5.0,96.0,83.0,4.0,7.0,42.0,38.0,5.0,2.0,70.0,77.0,True,32.0,2
,,69884.0,60639.0,75.0,69.0,61396.0,48636.0,743.0,632.0,38.0,25.0,47.0,47.0,6.0,8.0,9.0,0.0,5.0,1.0,96.0,100.0,3.0,0.0,52.0,57.0,1.0,1.0,77.0,69.0,False,31.0,2
,,87823.0,95641.0,85.0,87.0,69656.0,76957.0,875.0,1031.0,32.0,39.0,62.0,481.0,7.0,12.0,8.0,11.0,5.0,5.0,121.0,120.0,6.0,5.0,65.0,57.0,4.0,4.0,85.0,87.0,True,40.0,2
,,94411.0,100069.0,88.0,90.0,73916.0,79309.0,963.0,856.0,27.0,48.0,483.0,62.0,4.0,4.0,6.0,13.0,2.0,8.0,117.0,103.0,4.0,8.0,50.0,54.0,7.0,2.0,88.0,87.0,True,44.0,2
,,50939.0,52397.0,64.0,65.0,41690.0,40890.0,392.0,340.0,26.0,20.0,0.0,11.0,1.0,0.0,5.0,4.0,0.0,1.0,58.0,32.0,0.0,1.0,45.0,17.0,0.0,0.0,64.0,63.0,False,29.0,1
,,65014.0,59511.0,72.0,69.0,55711.0,46010.0,744.0,568.0,35.0,30.0,116.0,30.0,6.0,33.0,8.0,1.0,4.0,1.0,85.0,84.0,3.0,1.0,36.0,63.0,2.0,3.0,71.0,69.0,False,27.0,1
,,64447.0,59918.0,72.0,69.0,55322.0,52432.0,766.0,651.0,35.0,29.0,56.0,79.0,10.0,8.0,4.0,4.0,4.0,3.0,115.0,102.0,14.0,4.0,57.0,50.0,13.0,1.0,71.0,69.0,False,28.0,1
,,56735.0,68516.0,66.0,74.0,45319.0,61237.0,603.0,718.0,24.0,41.0,95.0,48.0,7.0,20.0,0.0,12.0,1.0,6.0,96.0,93.0,2.0,1.0,46.0,53.0,2.0,2.0,68.0,73.0,True,29.0,1
127982.0,93220.0,27689.0,42846.0,45.0,56.0,25230.0,48750.0,130.0,246.0,14.0,54.0,0.0,11.0,0.0,0.0,1.0,5.0,0.0,0.0,25.0,33.0,0.0,0.0,20.0,13.0,0.0,0.0,45.0,54.0,True,21.0,1
,,75892.0,62557.0,79.0,71.0,68377.0,61363.0,803.0,641.0,45.0,39.0,126.0,53.0,10.0,10.0,8.0,9.0,4.0,3.0,113.0,113.0,4.0,7.0,61.0,46.0,6.0,7.0,80.0,71.0,False,30.0,2
,,70233.0,87202.0,75.0,85.0,62411.0,73625.0,775.0,753.0,36.0,60.0,70.0,70.0,14.0,14.0,2.0,9.0,4.0,4.0,123.0,114.0,5.0,6.0,78.0,62.0,3.0,1.0,75.0,84.0,True,35.0,2
,,95162.0,73541.0,87.0,77.0,72645.0,65878.0,851.0,838.0,44.0,38.0,64.0,65.0,16.0,9.0,5.0,10.0,7.0,3.0,123.0,103.0,4.0,6.0,70.0,61.0,1.0,7.0,88.0,77.0,False,36.0,2
,,79995.0,83360.0,81.0,81.0,66792.0,69578.0,913.0,962.0,31.0,34.0,139.0,188.0,20.0,25.0,2.0,8.0,3.0,5.0,119.0,129.0,7.0,9.0,64.0,70.0,5.0,4.0,80.0,81.0,True,38.0,2
,,49260.0,41459.0,61.0,56.0,43934.0,35857.0,583.0,516.0,23.0,15.0,51.0,92.0,7.0,5.0,6.0,0.0,2.0,4.0,75.0,77.0,2.0,2.0,42.0,38.0,0.0,0.0,61.0,56.0,False,24.0,1
,,93160.0,101593.0,88.0,89.0,76506.0,83754.0,922.0,892.0,46.0,61.0,266.0,80.0,16.0,42.0,1.0,10.0,4.0,5.0,127.0,136.0,4.0,7.0,67.0,74.0,5.0,6.0,88.0,87.0,True,45.0,2
27129.0,38778.0,75170.0,65288.0,77.0,72.0,63548.0,52815.0,801.0,768.0,35.0,24.0,60.0,125.0,11.0,13.0,9.0,2.0,6.0,2.0,90.0,104.0,4.0,3.0,43.0,55.0,1.0,2.0,77.0,72.0,False,31.0,2
,,87781.0,73377.0,86.0,77.0,74628.0,63270.0,897.0,878.0,40.0,28.0,66.0,52.0,16.0,18.0,6.0,4.0,4.0,2.0,93.0,111.0,7.0,7.0,60.0,55.0,2.0,6.0,85.0,77.0,False,36.0,2
,,63100.0,53167.0,72.0,66.0,56363.0,45538.0,706.0,586.0,30.0,20.0,79.0,60.0,13.0,8.0,8.0,2.0,6.0,0.0,97.0,93.0,3.0,1.0,62.0,56.0,2.0,3.0,72.0,66.0,False,29.0,1
,,49221.0,61680.0,63.0,70.0,41016.0,51488.0,571.0,726.0,19.0,29.0,42.0,86.0,18.0,17.0,2.0,6.0,1.0,3.0,103.0,100.0,3.0,5.0,62.0,52.0,6.0,5.0,64.0,70.0,True,26.0,1
,,80635.0,85455.0,82.0,85.0,61525.0,73370.0,839.0,863.0,27.0,46.0,61.0,439.0,5.0,9.0,3.0,11.0,0.0,5.0,111.0,123.0,6.0,11.0,49.0,100.0,7.0,14.0,81.0,84.0,True,36.0,2
,,71915.0,63666.0,76.0,71.0,63557.0,55533.0,709.0,738.0,39.0,26.0,65.0,64.0,11.0,18.0,9.0,2.0,5.0,2.0,109.0,101.0,6.0,4.0,59.0,58.0,6.0,1.0,78.0,71.0,False,32.0,2
,,94564.0,93256.0,87.0,86.0,75378.0,75376.0,836.0,804.0,44.0,48.0,419.0,67.0,13.0,18.0,5.0,7.0,3.0,5.0,147.0,118.0,13.0,6.0,72.0,56.0,2.0,3.0,90.0,86.0,True,41.0,2
,,63914.0,55394.0,71.0,67.0,53890.0,46441.0,618.0,616.0,35.0,22.0,47.0,58.0,6.0,4.0,9.0,2.0,6.0,0.0,83.0,79.0,4.0,8.0,37.0,32.0,5.0,9.0,70.0,66.0,False,27.0,1
135325.0,75615.0,66274.0,74472.0,73.0,78.0,56772.0,65581.0,688.0,747.0,35.0,40.0,67.0,67.0,14.0,12.0,2.0,6.0,2.0,4.0,101.0,97.0,2.0,4.0,55.0,45.0,0.0,3.0,75.0,77.0,True,32.0,2
,,94985.0,89742.0,87.0,87.0,75994.0,78352.0,904.0,889.0,49.0,44.0,86.0,83.0,26.0,24.0,5.0,7.0,5.0,3.0,121.0,122.0,9.0,5.0,64.0,63.0,4.0,0.0,89.0,87.0,True,43.0,2
30035.0,23731.0,74548.0,62064.0,78.0,71.0,63148.0,56352.0,642.0,647.0,42.0,30.0,159.0,47.0,8.0,8.0,8.0,4.0,4.0,3.0,107.0,104.0,6.0,5.0,51.0,47.0,2.0,9.0,80.0,73.0,False,31.0,2
,,74874.0,64452.0,79.0,72.0,68092.0,60297.0,699.0,643.0,55.0,39.0,52.0,60.0,8.0,5.0,8.0,6.0,4.0,2.0,97.0,109.0,3.0,6.0,48.0,62.0,1.0,9.0,79.0,72.0,False,31.0,2
,,89315.0,108966.0,85.0,89.0,71514.0,83071.0,921.0,947.0,34.0,61.0,71.0,431.0,14.0,9.0,4.0,12.0,2.0,6.0,105.0,141.0,4.0,9.0,80.0,85.0,7.0,0.0,85.0,88.0,True,41.0,2
,,52249.0,66830.0,62.0,74.0,46161.0,61201.0,643.0,694.0,23.0,53.0,32.0,160.0,6.0,8.0,2.0,6.0,1.0,5.0,102.0,100.0,10.0,3.0,48.0,56.0,6.0,4.0,62.0,74.0,True,27.0,1
,,75309.0,70462.0,77.0,76.0,65665.0,58656.0,766.0,651.0,45.0,31.0,59.0,73.0,18.0,13.0,10.0,5.0,7.0,1.0,102.0,108.0,5.0,6.0,52.0,60.0,3.0,0.0,77.0,78.0,False,33.0,2
